sf,workers,query_id,elapsed_D1,elapsed_D2,ratio_d2_over_d1,faster_strategy
10,2,Q001,1.895,59.639,31.471767810026385,D1 mai rapid
10,2,Q002,2.681,8.504,3.1719507646400595,D1 mai rapid
10,2,Q003,11.755,19.299,1.6417694598043384,D1 mai rapid
10,2,Q004,4.455,15.177,3.4067340067340064,D1 mai rapid
10,2,Q005,2.749,13.783,5.013823208439432,D1 mai rapid
10,2,Q006,38.348,160.155,4.176358610618546,D1 mai rapid
10,2,Q007,6.066,0.987,0.16271018793273986,D2 mai rapid
10,2,Q008,8.813,106.709,12.108135708612277,D1 mai rapid
10,2,Q009,1.216,1.695,1.3939144736842106,D1 mai rapid
10,2,Q010,1.005,7.825,7.786069651741294,D1 mai rapid
10,2,Q011,10.17,2.554,0.2511307767944936,D2 mai rapid
10,2,Q012,7.952,3.447,0.43347585513078474,D2 mai rapid
10,2,Q014,1.042,0.457,0.43857965451055664,D2 mai rapid
10,2,Q015,0.3,0.401,1.336666666666667,D1 mai rapid
10,2,Q016,51.162,11.488,0.2245416520073492,D2 mai rapid
10,2,Q017,34.097,3.91,0.11467284511833886,D2 mai rapid
10,2,Q018,9.671,11.062,1.1438320752766002,D1 mai rapid
10,2,Q019,0.566,12.618,22.293286219081274,D1 mai rapid
10,2,Q020,0.385,3.57,9.272727272727272,D1 mai rapid
10,2,Q021,3.16,3.341,1.0572784810126583,D1 mai rapid
10,2,Q022,2.731,3.127,1.1450018308311973,D1 mai rapid
10,2,Q023,11.591,25.541,2.2035199723923737,D1 mai rapid
10,2,Q025,36.461,3.776,0.10356271084172129,D2 mai rapid
10,2,Q026,5.753,2.98,0.517990613592908,D2 mai rapid
10,2,Q027,1.311,1.271,0.969488939740656,D2 mai rapid
10,2,Q028,2218.742,1943.045,0.875741749153349,D2 mai rapid
10,2,Q029,1.526,2.235,1.4646133682830929,D1 mai rapid
10,2,Q030,17.752,6.473,0.36463497070752593,D2 mai rapid
10,2,Q031,90.133,104.664,1.161217312194202,D1 mai rapid
10,2,Q032,7.741,1.907,0.2463506006975843,D2 mai rapid
10,2,Q033,13.695,22.436,1.6382621394669588,D1 mai rapid
10,2,Q034,43.266,11.601,0.26813202052419915,D2 mai rapid
10,2,Q035,3.832,1.585,0.4136221294363257,D2 mai rapid
10,2,Q036,71.539,2.277,0.03182879268650666,D2 mai rapid
10,2,Q037,15.804,3.977,0.25164515312579094,D2 mai rapid
10,2,Q038,4.426,22.897,5.173294170808856,D1 mai rapid
10,2,Q039,3.495,2.39,0.6838340486409156,D2 mai rapid
10,2,Q041,12.062,5.561,0.46103465428618806,D2 mai rapid
10,2,Q042,8.366,66.093,7.900191250298829,D1 mai rapid
10,2,Q043,3.018,2.122,0.7031146454605699,D2 mai rapid
10,2,Q044,9.038,10.667,1.1802389909271962,D1 mai rapid
10,2,Q045,93.741,109.986,1.1732966364771018,D1 mai rapid
10,2,Q046,9.29,7.35,0.791173304628633,D2 mai rapid
10,2,Q047,17.961,17.269,0.9614720783920717,D2 mai rapid
10,2,Q048,2.807,2.792,0.9946562166013537,D2 mai rapid
10,2,Q049,3.224,2.891,0.896712158808933,D2 mai rapid
10,2,Q052,40.61,809.747,19.93959615858163,D1 mai rapid
10,2,Q053,38.366,809.137,21.089949434395034,D1 mai rapid
10,2,Q054,11.028,4.804,0.4356184258251723,D2 mai rapid
10,2,Q056,6.258,9.947,1.5894854586129752,D1 mai rapid
10,2,Q057,26.889,24.771,0.9212317304473949,D2 mai rapid
10,2,Q058,29.857,29.506,0.9882439628897747,D2 mai rapid
10,2,Q059,29.587,28.331,0.9575489235137054,D2 mai rapid
10,2,Q060,49.296,48.688,0.9876663420967219,D2 mai rapid
10,2,Q062,3.232,2.193,0.6785272277227723,D2 mai rapid
10,2,Q063,2.691,1.459,0.5421776291341509,D2 mai rapid
10,2,Q066,23.414,3.14,0.1341077987528829,D2 mai rapid
10,2,Q067,3.412,30.863,9.045427901524032,D1 mai rapid
10,2,Q070,8.069,3.194,0.39583591523113143,D2 mai rapid
10,2,Q071,3.238,2.919,0.9014823965410748,D2 mai rapid
10,2,Q072,1.692,1.378,0.8144208037825059,D2 mai rapid
10,2,Q073,3.239,3.107,0.9592466810744058,D2 mai rapid
10,2,Q074,1.507,1.817,1.205706702057067,D1 mai rapid
10,2,Q075,26.34,23.671,0.8986712224753227,D2 mai rapid
10,2,Q076,13.255,6.18,0.46623915503583546,D2 mai rapid
10,2,Q077,3.696,3.829,1.0359848484848484,D1 mai rapid
10,2,Q078,9.053,4.821,0.5325306528222687,D2 mai rapid
10,2,Q079,6.304,8.519,1.3513642131979695,D1 mai rapid
10,2,Q080,1.129,0.226,0.20017714791851196,D2 mai rapid
10,2,Q081,0.418,0.232,0.5550239234449761,D2 mai rapid
10,2,Q082,3.578,1.487,0.4155953046394634,D2 mai rapid
10,2,Q083,1.075,0.733,0.6818604651162791,D2 mai rapid
10,2,Q084,0.476,0.339,0.71218487394958,D2 mai rapid
10,2,Q085,0.471,0.44,0.9341825902335457,D2 mai rapid
10,2,Q086,10.233,3.907,0.3818039675559464,D2 mai rapid
10,2,Q087,2.289,1.085,0.474006116207951,D2 mai rapid
10,2,Q088,2.089,1.159,0.5548109143130685,D2 mai rapid
10,2,Q089,1.439,1.042,0.7241139680333565,D2 mai rapid
10,2,Q090,2.957,1.629,0.5508961785593507,D2 mai rapid
10,2,Q091,0.285,0.406,1.4245614035087721,D1 mai rapid
10,2,Q092,17.366,15.387,0.8860416906599102,D2 mai rapid
10,2,Q093,17.054,15.053,0.8826668230327197,D2 mai rapid
10,2,Q094,1.223,0.852,0.6966475878986099,D2 mai rapid
10,2,Q095,1.06,0.77,0.7264150943396226,D2 mai rapid
10,2,Q096,5.235,1.565,0.29894937917860553,D2 mai rapid
10,2,Q097,1.695,1.66,0.9793510324483775,D2 mai rapid
10,2,Q098,1.361,1.556,1.1432770022042615,D1 mai rapid
10,2,Q099,570.668,452.636,0.7931687075497488,D2 mai rapid
10,2,Q100,1.654,0.665,0.40205562273276907,D2 mai rapid
10,2,Q102,0.844,2.836,3.3601895734597154,D1 mai rapid
10,2,Q104,5.297,4.878,0.9208986218614311,D2 mai rapid
10,2,Q105,7.621,19.443,2.551239994751345,D1 mai rapid
10,2,Q106,10.23,9.367,0.9156402737047898,D2 mai rapid
10,2,Q107,14.559,9.496,0.6522425990796071,D2 mai rapid
10,2,Q108,16.169,10.678,0.6603995299647474,D2 mai rapid
10,2,Q109,3.163,3.127,0.9886184002529245,D2 mai rapid
10,2,Q111,1.885,6.516,3.456763925729443,D1 mai rapid
10,2,Q112,2.261,2.226,0.9845201238390092,D2 mai rapid
10,2,Q113,7.7,3.59,0.4662337662337662,D2 mai rapid
10,2,Q114,0.601,1.006,1.6738768718801997,D1 mai rapid
10,2,Q115,1.697,8.66,5.103123158515026,D1 mai rapid
10,2,Q116,10.04,2.315,0.2305776892430279,D2 mai rapid
10,2,Q117,1.235,2.064,1.6712550607287449,D1 mai rapid
10,2,Q118,0.891,1.921,2.1560044893378225,D1 mai rapid
10,2,Q120,0.285,1.193,4.185964912280702,D1 mai rapid
10,2,Q122,46.119,46.475,1.0077191613001149,D1 mai rapid
10,2,Q123,3.585,6.672,1.8610878661087866,D1 mai rapid
10,2,Q126,21.618,25.489,1.1790637431769821,D1 mai rapid
10,2,Q127,18.478,17.816,0.9641736118627555,D2 mai rapid
10,2,Q128,2.936,0.898,0.305858310626703,D2 mai rapid
10,2,Q129,1.543,2.111,1.3681140635126379,D1 mai rapid
10,2,Q130,1.484,1.15,0.774932614555256,D2 mai rapid
10,2,Q131,3.88,3.64,0.9381443298969073,D2 mai rapid
10,2,Q133,19.58,15.884,0.8112359550561798,D2 mai rapid
10,2,Q134,45.082,45.726,1.0142850805199415,D1 mai rapid
10,2,Q135,2.501,1.818,0.7269092363054779,D2 mai rapid
10,2,Q136,4.176,6.706,1.6058429118773947,D1 mai rapid
10,2,Q137,3.876,7.224,1.863777089783282,D1 mai rapid
10,2,Q138,1.25,1.176,0.9408,D2 mai rapid
10,2,Q139,1.213,1.203,0.9917559769167353,D2 mai rapid
10,2,Q140,1.161,1.151,0.9913867355727821,D2 mai rapid
10,2,Q141,1.724,1.143,0.6629930394431555,D2 mai rapid
10,2,Q142,2.713,1.068,0.39366015481017325,D2 mai rapid
10,2,Q143,1.143,0.718,0.6281714785651793,D2 mai rapid
10,2,Q144,1.749,1.487,0.8502001143510578,D2 mai rapid
10,2,Q145,1.462,1.465,1.0020519835841315,D1 mai rapid
10,2,Q146,0.871,0.92,1.0562571756601609,D1 mai rapid
10,2,Q147,0.85,0.904,1.0635294117647058,D1 mai rapid
10,2,Q148,2.984,2.985,1.0003351206434317,D1 mai rapid
10,2,Q149,2.624,2.526,0.9626524390243901,D2 mai rapid
10,2,Q150,1.53,1.179,0.7705882352941177,D2 mai rapid
10,2,Q151,3.645,24.695,6.775034293552812,D1 mai rapid
10,2,Q152,0.95,6.835,7.1947368421052635,D1 mai rapid
10,2,Q153,403.301,478.311,1.1859901165630633,D1 mai rapid
10,2,Q154,374.385,488.107,1.3037568278643643,D1 mai rapid
10,2,Q155,8.732,16.711,1.9137654603756298,D1 mai rapid
10,2,Q156,2.592,4.995,1.9270833333333333,D1 mai rapid
10,2,Q157,2.314,4.64,2.0051858254105444,D1 mai rapid
10,2,Q158,29.888,63.525,2.1254349571734474,D1 mai rapid
10,2,Q159,28.629,30.438,1.063187676831185,D1 mai rapid
10,2,Q161,3.573,7.583,2.1223061852784775,D1 mai rapid
10,2,Q162,3.823,14.005,3.6633533873921005,D1 mai rapid
10,2,Q163,1.739,0.814,0.4680851063829787,D2 mai rapid
10,2,Q164,4.501,4.58,1.017551655187736,D1 mai rapid
10,2,Q165,3.945,3.018,0.7650190114068441,D2 mai rapid
10,2,Q166,3.899,3.141,0.8055911772249295,D2 mai rapid
10,2,Q167,17.637,9.512,0.5393207461586438,D2 mai rapid
10,2,Q168,18.337,4.782,0.26078420679500464,D2 mai rapid
10,2,Q169,18.699,4.673,0.2499064121075993,D2 mai rapid
10,2,Q170,14.284,6.202,0.4341921030523663,D2 mai rapid
10,2,Q171,14.757,6.24,0.4228501727993495,D2 mai rapid
10,2,Q172,1.68,1.737,1.0339285714285715,D1 mai rapid
10,2,Q173,1.252,0.818,0.6533546325878594,D2 mai rapid
10,2,Q174,1.489,0.942,0.6326393552719946,D2 mai rapid
10,2,Q175,1.449,3.737,2.5790200138026225,D1 mai rapid
10,2,Q176,1.335,1.227,0.9191011235955057,D2 mai rapid
10,2,Q177,1.34,1.19,0.8880597014925372,D2 mai rapid
10,2,Q178,2.362,2.238,0.947502116850127,D2 mai rapid
10,2,Q179,2.664,2.505,0.9403153153153152,D2 mai rapid
10,2,Q180,2.729,2.197,0.8050567973616709,D2 mai rapid
10,2,Q181,1.865,2.105,1.128686327077748,D1 mai rapid
10,2,Q182,1.16,1.198,1.0327586206896553,D1 mai rapid
10,2,Q183,53.571,78.291,1.4614436915495324,D1 mai rapid
10,2,Q184,52.068,52.68,1.011753860336483,D1 mai rapid
10,2,Q185,1.68,1.102,0.6559523809523811,D2 mai rapid
10,2,Q186,5.341,15.459,2.894401797416214,D1 mai rapid
10,2,Q187,2.037,1.453,0.7133038782523319,D2 mai rapid
10,2,Q188,1.88,0.598,0.3180851063829787,D2 mai rapid
10,2,Q189,1.305,1.817,1.392337164750958,D1 mai rapid
10,2,Q190,0.93,1.707,1.835483870967742,D1 mai rapid
10,2,Q191,0.887,1.656,1.8669673055242388,D1 mai rapid
10,2,Q192,1.725,5.623,3.2597101449275363,D1 mai rapid
10,2,Q193,1.574,4.207,2.672808132147395,D1 mai rapid
10,2,Q194,1.119,1.007,0.8999106344950848,D2 mai rapid
10,2,Q195,1.052,0.968,0.9201520912547528,D2 mai rapid
10,2,Q196,1.101,1.225,1.1126248864668484,D1 mai rapid
10,2,Q199,0.351,0.874,2.4900284900284904,D1 mai rapid
10,2,Q200,1.363,2.187,1.6045487894350696,D1 mai rapid
