sf,workers,query_id,status_D1,status_D2,error_category_D1,error_category_D2,source_file_D1,source_file_D2,status_transition,status_comparison_class
10,2,Q001,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q002,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q003,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q004,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q005,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q006,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q007,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q008,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q009,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q010,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q011,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q012,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q013,CITUS_ARCH_ERROR,CITUS_ARCH_ERROR,Join complex intre tabele distribuite necolocate,Join complex intre tabele distribuite necolocate,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,CITUS_ARCH_ERROR -> CITUS_ARCH_ERROR,Ambele esec acelasi status
10,2,Q014,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q015,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q016,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q017,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q018,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q019,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q020,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q021,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q022,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q023,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q024,SUCCESS,CITUS_ARCH_ERROR,NA,Parallel DDL + FK catre reference table,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> CITUS_ARCH_ERROR,"D1 SUCCESS, D2 esec"
10,2,Q025,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q026,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q027,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q028,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q029,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q030,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q031,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q032,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q033,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q034,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q035,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q036,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q037,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q038,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q039,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q040,SUCCESS,CITUS_ARCH_ERROR,NA,Parallel DDL + FK catre reference table,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> CITUS_ARCH_ERROR,"D1 SUCCESS, D2 esec"
10,2,Q041,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q042,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q043,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q044,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q045,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q046,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q047,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q048,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q049,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q050,SUCCESS,CITUS_ARCH_ERROR,NA,Parallel DDL + FK catre reference table,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> CITUS_ARCH_ERROR,"D1 SUCCESS, D2 esec"
10,2,Q051,CITUS_ARCH_ERROR,CITUS_ARCH_ERROR,Parallel DDL + FK catre reference table,Parallel DDL + FK catre reference table,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,CITUS_ARCH_ERROR -> CITUS_ARCH_ERROR,Ambele esec acelasi status
10,2,Q052,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q053,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q054,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
10,2,Q055,CITUS_ARCH_ERROR,SUCCESS,Parallel DDL + FK catre reference table,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,CITUS_ARCH_ERROR -> SUCCESS,"D1 esec, D2 SUCCESS"
10,2,Q056,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n2_d2.csv,SUCCESS -> SUCCESS,Ambele SUCCESS
