sf,strategy,query_id,status_N2,status_N5,error_category_N2,error_category_N5,source_file_N2,source_file_N5,status_transition,status_comparison_class
10,D1,Q001,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n5_d1.csv,SUCCESS -> SUCCESS,Ambele au rulat cu succes
10,D1,Q002,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n5_d1.csv,SUCCESS -> SUCCESS,Ambele au rulat cu succes
10,D1,Q003,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n5_d1.csv,SUCCESS -> SUCCESS,Ambele au rulat cu succes
10,D1,Q004,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n5_d1.csv,SUCCESS -> SUCCESS,Ambele au rulat cu succes
10,D1,Q005,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n5_d1.csv,SUCCESS -> SUCCESS,Ambele au rulat cu succes
10,D1,Q006,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n5_d1.csv,SUCCESS -> SUCCESS,Ambele au rulat cu succes
10,D1,Q007,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n5_d1.csv,SUCCESS -> SUCCESS,Ambele au rulat cu succes
10,D1,Q008,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n5_d1.csv,SUCCESS -> SUCCESS,Ambele au rulat cu succes
10,D1,Q009,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n5_d1.csv,SUCCESS -> SUCCESS,Ambele au rulat cu succes
10,D1,Q010,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n5_d1.csv,SUCCESS -> SUCCESS,Ambele au rulat cu succes
10,D1,Q011,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n5_d1.csv,SUCCESS -> SUCCESS,Ambele au rulat cu succes
10,D1,Q012,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n5_d1.csv,SUCCESS -> SUCCESS,Ambele au rulat cu succes
10,D1,Q013,CITUS_ARCH_ERROR,CITUS_ARCH_ERROR,Join complex intre tabele distribuite necolocate,Join complex intre tabele distribuite necolocate,rezultate_sf10_n2_d1.csv,rezultate_sf10_n5_d1.csv,CITUS_ARCH_ERROR -> CITUS_ARCH_ERROR,Ambele au esuat cu acelasi status
10,D1,Q014,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n5_d1.csv,SUCCESS -> SUCCESS,Ambele au rulat cu succes
10,D1,Q015,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n5_d1.csv,SUCCESS -> SUCCESS,Ambele au rulat cu succes
10,D1,Q016,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n5_d1.csv,SUCCESS -> SUCCESS,Ambele au rulat cu succes
10,D1,Q017,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n5_d1.csv,SUCCESS -> SUCCESS,Ambele au rulat cu succes
10,D1,Q018,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n5_d1.csv,SUCCESS -> SUCCESS,Ambele au rulat cu succes
10,D1,Q019,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n5_d1.csv,SUCCESS -> SUCCESS,Ambele au rulat cu succes
10,D1,Q020,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n5_d1.csv,SUCCESS -> SUCCESS,Ambele au rulat cu succes
10,D1,Q021,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n5_d1.csv,SUCCESS -> SUCCESS,Ambele au rulat cu succes
10,D1,Q022,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n5_d1.csv,SUCCESS -> SUCCESS,Ambele au rulat cu succes
10,D1,Q023,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n5_d1.csv,SUCCESS -> SUCCESS,Ambele au rulat cu succes
10,D1,Q024,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n5_d1.csv,SUCCESS -> SUCCESS,Ambele au rulat cu succes
10,D1,Q025,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n5_d1.csv,SUCCESS -> SUCCESS,Ambele au rulat cu succes
10,D1,Q026,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n5_d1.csv,SUCCESS -> SUCCESS,Ambele au rulat cu succes
10,D1,Q027,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n5_d1.csv,SUCCESS -> SUCCESS,Ambele au rulat cu succes
10,D1,Q028,SUCCESS,SUCCESS,NA,NA,rezultate_sf10_n2_d1.csv,rezultate_sf10_n5_d1.csv,SUCCESS -> SUCCESS,Ambele au rulat cu succes
