sf,strategy,query_id,elapsed_N2,elapsed_N5,node_scaling_speedup,time_reduction_pct,scaling_efficiency,time_comparison_class
10,D1,Q001,1.895,14.895,0.12722390063779793,-686.0158311345647,0.05088956025511917,N2 mai rapid
10,D1,Q002,2.681,3.662,0.7321135991261606,-36.59082431928384,0.2928454396504642,N2 mai rapid
10,D1,Q003,11.755,14.047,0.8368334875774187,-19.498085920884726,0.3347333950309675,N2 mai rapid
10,D1,Q004,4.455,7.042,0.6326327747798921,-58.0695847362514,0.25305310991195684,N2 mai rapid
10,D1,Q005,2.749,4.252,0.646519285042333,-54.67442706438703,0.2586077140169332,N2 mai rapid
10,D1,Q006,38.348,39.635,0.9675286993818595,-3.3561072285386433,0.3870114797527438,Similar (+/-5%)
10,D1,Q007,6.066,0.896,6.770089285714286,85.2291460600066,2.7080357142857143,N5 mai rapid
10,D1,Q008,8.813,3.068,2.872555410691004,65.18779076364463,1.1490221642764016,N5 mai rapid
10,D1,Q009,1.216,0.963,1.2627206645898235,20.80592105263158,0.5050882658359294,N5 mai rapid
10,D1,Q010,1.005,1.067,0.9418931583880037,-6.169154228855728,0.3767572633552015,N2 mai rapid
10,D1,Q011,10.17,4.802,2.1178675551853394,52.7826941986234,0.8471470220741357,N5 mai rapid
10,D1,Q012,7.952,5.438,1.4623023170283194,31.614688128772638,0.5849209268113278,N5 mai rapid
10,D1,Q014,1.042,0.47,2.217021276595745,54.894433781190024,0.8868085106382979,N5 mai rapid
10,D1,Q015,0.3,0.305,0.9836065573770492,-1.6666666666666683,0.39344262295081966,Similar (+/-5%)
10,D1,Q016,51.162,33.481,1.5280905588244078,34.55885227317149,0.6112362235297631,N5 mai rapid
10,D1,Q017,34.097,3.856,8.842582987551868,88.69108719242162,3.537033195020747,N5 mai rapid
10,D1,Q018,9.671,11.885,0.8137147665124106,-22.89318581325613,0.32548590660496424,N2 mai rapid
10,D1,Q019,0.566,0.271,2.0885608856088558,52.12014134275618,0.8354243542435423,N5 mai rapid
10,D1,Q020,0.385,0.741,0.5195681511470985,-92.46753246753246,0.20782726045883942,N2 mai rapid
10,D1,Q021,3.16,2.849,1.109161109161109,9.841772151898732,0.44366444366444363,N5 mai rapid
10,D1,Q022,2.731,3.122,0.8747597693786034,-14.317099963383379,0.34990390775144137,N2 mai rapid
10,D1,Q023,11.591,11.652,0.9947648472365259,-0.5262703821930803,0.39790593889461034,Similar (+/-5%)
10,D1,Q024,32.369,33.813,0.9572945316889953,-4.461058420093307,0.3829178126755981,Similar (+/-5%)
10,D1,Q025,36.461,43.69,0.8345387960631724,-19.826664106853897,0.33381551842526896,N2 mai rapid
10,D1,Q026,5.753,6.855,0.8392414296134209,-19.15522336172432,0.33569657184536833,N2 mai rapid
