variable,n,min,q1,median,q3,max,mean,sd,sw_W,sw_pval
n_aggregate_calls,250,0,1.25,3,4,15,2.83,2.17,0.864,4.51e-14
n_aggregate_types,250,0,1,1,2,5,1.45,0.9,0.861,3.02e-14
n_cross_joins,250,0,0,0,0,1,0.01,0.11,0.083,6.15e-33
n_ctes,250,0,0,0,0,4,0.35,0.69,0.554,7.82e-25
n_full_joins,250,0,0,0,0,1,0.01,0.11,0.083,6.15e-33
n_having_predicates,250,0,0,0,1,7,0.51,0.99,0.551,6.9e-25
n_inner_joins,250,0,2,3,4,9,2.91,1.5,0.928,1.03e-9
n_joins,250,0,2,3,4,12,3.19,1.59,0.881,4.45e-13
n_left_joins,250,0,0,0,0,3,0.25,0.59,0.472,1.27e-26
n_right_joins,250,0,0,0,0,1,0.01,0.09,0.062,3.2400000000000004e-33
n_subqueries,250,0,0,0,0,6,0.32,0.71,0.504,6.03e-26
n_tables,250,1,3,4,4,8,3.87,1.19,0.881,4.31e-13
n_where_predicates,250,0,2,3,4,12,2.95,1.9,0.895,3.83e-12
