variable,n_tables,n_joins,n_subqueries,n_ctes,n_inner_joins,n_left_joins,n_right_joins,n_full_joins,n_cross_joins,n_aggregate_types,n_aggregate_calls,n_where_predicates,n_having_predicates
n_tables,1,0.783324401003646,0.013226815604370765,0.10174016288049949,0.7401616623590245,0.16945514717189603,0.03137481751338822,0.038503853991201265,-0.0032086544992667725,0.13723884094643723,0.16958478096695553,0.3900284993626465,0.13599855252237023
n_joins,0.783324401003646,1,0.05286973637501748,0.10027596820397057,0.9248884419793818,0.23309440273060278,0,0.08577055188039649,0.1327214044387787,0.14669676273267662,0.19768051762612332,0.4760894981356291,0.16422718117608892
n_subqueries,0.013226815604370765,0.05286973637501748,1,-0.24038670634255022,0.024038926815453717,0.17427908436307668,-0.04902327726163525,-0.0601624251375076,-0.0601624251375076,-0.06063334084349032,0.012422217599530522,0.28367199863931397,-0.02061702524369423
n_ctes,0.10174016288049949,0.10027596820397057,-0.24038670634255022,0.9999999999999999,0.10911614665325751,-0.0860523007694546,-0.04946318535965844,0.22943407862648788,0.1697606411361906,-0.015488893457511674,0.02749846258477881,0.28767326270197785,-0.03140453027604421
n_inner_joins,0.7401616623590245,0.9248884419793818,0.024038926815453717,0.10911614665325751,1,-0.06691490646281147,-0.07433294821074006,0.01756304889118576,0.07995119271360682,0.11242013699471941,0.14504872931769044,0.49822249703128396,0.16360952842004567
n_left_joins,0.16945514717189603,0.23309440273060278,0.17427908436307668,-0.0860523007694546,-0.06691490646281147,1,-0.04305167713876049,-0.05283394843395724,-0.05283394843395724,0.1350777117001015,0.218631121722357,0.014154983244525972,0.058746568521568926
n_right_joins,0.03137481751338822,0,-0.04902327726163525,-0.04946318535965844,-0.07433294821074006,-0.04305167713876049,1,-0.009896948449483196,-0.009896948449483196,-0.053573748300034606,-0.07088400931480289,-0.11578932224551398,0.022006037885427574
n_full_joins,0.038503853991201265,0.08577055188039649,-0.0601624251375076,0.22943407862648788,0.01756304889118576,-0.05283394843395724,-0.009896948449483196,0.9999999999999999,-0.01214574898785425,-0.06574686152120778,-0.04970879307090288,0.07195549359004028,-0.07781472004950549
n_cross_joins,-0.0032086544992667725,0.1327214044387787,-0.0601624251375076,0.1697606411361906,0.07995119271360682,-0.05283394843395724,-0.009896948449483196,-0.01214574898785425,0.9999999999999999,0.04273545998878505,0.09242728711621004,0.1276045264024815,0.061946620274704364
n_aggregate_types,0.13723884094643723,0.14669676273267662,-0.06063334084349032,-0.015488893457511674,0.11242013699471941,0.1350777117001015,-0.053573748300034606,-0.06574686152120778,0.04273545998878505,1,0.6246120974100396,-0.048210463374185386,0.3244966279090298
n_aggregate_calls,0.16958478096695553,0.19768051762612332,0.012422217599530522,0.02749846258477881,0.14504872931769044,0.218631121722357,-0.07088400931480289,-0.04970879307090288,0.09242728711621004,0.6246120974100396,1,-0.006744042434169301,0.510816230382559
n_where_predicates,0.3900284993626465,0.4760894981356291,0.28367199863931397,0.28767326270197785,0.49822249703128396,0.014154983244525972,-0.11578932224551398,0.07195549359004028,0.1276045264024815,-0.048210463374185386,-0.006744042434169301,1,0.017373730274627852
n_having_predicates,0.13599855252237023,0.16422718117608892,-0.02061702524369423,-0.03140453027604421,0.16360952842004567,0.058746568521568926,0.022006037885427574,-0.07781472004950549,0.061946620274704364,0.3244966279090298,0.510816230382559,0.017373730274627852,0.9999999999999999
