characteristic,n_total,success_rate,citus_arch_error_rate,timeout_rate,server_crash_rate,median_speedup,pct_faster
has_cube,12,0,100,0,0,NA,NA
has_grouping,12,0,100,0,0,NA,NA
has_rollup,24,0,100,0,0,NA,NA
has_subqueries,696,74.9,23.3,1.9,0,3.112354023185182,80.42226487523992
has_case,432,83.8,11.1,2.8,2.3,3.8971793008805324,92.81767955801105
has_order_by,2520,88.6,9.5,1.2,0.7,3.513026052104208,85.49618320610686
has_union,132,84.8,9.1,0,6.1,2.921150254775376,67.85714285714286
has_aggregates,2676,89.2,9,1.2,0.7,3.5105937820658495,87.00588730025231
has_group_by,2676,89.4,8.7,1.2,0.7,3.505712614228676,87.03859060402685
has_left_join,564,87.4,8.5,2.3,1.8,2.2023164454077486,76.8762677484787
has_distinct,684,90.4,7.9,1.8,0,2.458758082677006,82.20064724919094
has_limit,624,92.3,7.7,0,0,3.226893564291911,86.28472222222221
has_having,1020,92.3,6.5,1.3,0,3.1949820788530463,84.16578108395323
has_right_join,24,66.7,0,33.3,0,NA,NA
has_cte,708,97,0,1.8,1.1,3.199957976256585,82.24163027656476
has_window,468,98.1,0,1.1,0.9,3.6785408460352795,83.2244008714597
has_cross_join,36,100,0,0,0,NA,NA
has_except,72,100,0,0,0,NA,NA
has_full_join,36,100,0,0,0,NA,NA
has_intersect,84,100,0,0,0,NA,NA
