characteristic,presence,n,median_speedup,p25_speedup,p75_speedup,pct_faster
has_aggregates,no,244,2.4400841169563634,0.5938378618302721,5.47532343531754,63.934426229508205
has_aggregates,yes,2378,3.5105937820658495,1.8139990991461135,6.344236235010995,87.00588730025231
has_case,no,2260,3.2927875732391607,1.5736061801185373,6.152823240322117,83.58407079646017
has_case,yes,362,3.8971793008805324,2.31599945974043,6.9335382157260845,92.81767955801105
has_cte,no,1935,3.4809454153514507,1.7613275845908938,6.734219436653966,85.78811369509044
has_cte,yes,687,3.199957976256585,1.38178849040674,5.4664058632221195,82.24163027656476
has_distinct,no,2004,3.7590226133645093,1.9668384937139247,6.788056266010585,85.67864271457086
has_distinct,yes,618,2.458758082677006,1.3780213358086013,4.6163910155202075,82.20064724919094
has_group_by,no,238,2.3520825509539782,0.5782516086895192,5.41807815422604,63.02521008403361
has_group_by,yes,2384,3.505712614228676,1.821303360408158,6.3482367423924195,87.03859060402685
has_having,no,1681,3.633000422000281,1.8200434317081629,6.823625302011469,85.24687685901249
has_having,yes,941,3.1949820788530463,1.5365387677121478,5.475162866449511,84.16578108395323
has_left_join,no,2129,3.749776586237712,1.949500118082343,6.823625302011469,86.70737435415688
has_left_join,yes,493,2.2023164454077486,1.0567398119122258,4.244031424815822,76.8762677484787
has_limit,no,2046,3.487765737492908,1.7356529140538766,6.324492383764038,84.4574780058651
has_limit,yes,576,3.226893564291911,1.5387833885922224,6.1809589642243745,86.28472222222221
has_order_by,no,395,2.866044672371714,1.3200402700481795,5.5189859608127865,81.26582278481013
has_order_by,yes,2227,3.513026052104208,1.7928179238649509,6.425183565702399,85.49618320610686
has_subqueries,no,2101,3.48377056469542,1.8479801375885792,6.276670574443142,85.95906711089957
has_subqueries,yes,521,3.112354023185182,1.3298362333674514,6.190457177081254,80.42226487523992
has_union,no,2510,3.4267422689834004,1.7295989917834829,6.311753122609712,85.61752988047809
has_union,yes,112,2.921150254775376,0.6881862532175348,5.361313302234624,67.85714285714286
has_window,no,2163,3.3618199559622153,1.6683355713854011,6.413338279193158,85.20573277854831
has_window,yes,459,3.6785408460352795,1.672224975794097,5.830974391595972,83.2244008714597
