architecture,characteristic,presence,n_total,n_success,n_citus_arch_error,n_timeout,n_server_crash,success_rate,citus_arch_error_rate,timeout_rate,server_crash_rate
baseline,has_aggregates,no,81,81,0,0,0,100,0,0,0
baseline,has_aggregates,yes,669,660,0,9,0,98.7,0,1.3,0
distributed,has_aggregates,no,324,244,72,8,0,75.3,22.2,2.5,0
distributed,has_aggregates,yes,2676,2386,240,32,18,89.2,9,1.2,0.7
baseline,has_case,no,642,637,0,5,0,99.2,0,0.8,0
baseline,has_case,yes,108,104,0,4,0,96.3,0,3.7,0
distributed,has_case,no,2568,2268,264,28,8,88.3,10.3,1.1,0.3
distributed,has_case,yes,432,362,48,12,10,83.8,11.1,2.8,2.3
baseline,has_cross_join,no,741,732,0,9,0,98.8,0,1.2,0
baseline,has_cross_join,yes,9,9,0,0,0,100,0,0,0
distributed,has_cross_join,no,2964,2594,312,40,18,87.5,10.5,1.3,0.6
distributed,has_cross_join,yes,36,36,0,0,0,100,0,0,0
baseline,has_cte,no,573,566,0,7,0,98.8,0,1.2,0
baseline,has_cte,yes,177,175,0,2,0,98.9,0,1.1,0
distributed,has_cte,no,2292,1943,312,27,10,84.8,13.6,1.2,0.4
distributed,has_cte,yes,708,687,0,13,8,97,0,1.8,1.1
baseline,has_cube,no,747,738,0,9,0,98.8,0,1.2,0
baseline,has_cube,yes,3,3,0,0,0,100,0,0,0
distributed,has_cube,no,2988,2630,300,40,18,88,10,1.3,0.6
distributed,has_cube,yes,12,0,12,0,0,0,100,0,0
baseline,has_distinct,no,579,570,0,9,0,98.4,0,1.6,0
baseline,has_distinct,yes,171,171,0,0,0,100,0,0,0
distributed,has_distinct,no,2316,2012,258,28,18,86.9,11.1,1.2,0.8
distributed,has_distinct,yes,684,618,54,12,0,90.4,7.9,1.8,0
baseline,has_except,no,732,723,0,9,0,98.8,0,1.2,0
baseline,has_except,yes,18,18,0,0,0,100,0,0,0
distributed,has_except,no,2928,2558,312,40,18,87.4,10.7,1.4,0.6
distributed,has_except,yes,72,72,0,0,0,100,0,0,0
baseline,has_full_join,no,741,732,0,9,0,98.8,0,1.2,0
baseline,has_full_join,yes,9,9,0,0,0,100,0,0,0
distributed,has_full_join,no,2964,2594,312,40,18,87.5,10.5,1.3,0.6
distributed,has_full_join,yes,36,36,0,0,0,100,0,0,0
baseline,has_group_by,no,81,79,0,2,0,97.5,0,2.5,0
baseline,has_group_by,yes,669,662,0,7,0,99,0,1,0
distributed,has_group_by,no,324,238,78,8,0,73.5,24.1,2.5,0
distributed,has_group_by,yes,2676,2392,234,32,18,89.4,8.7,1.2,0.7
baseline,has_grouping,no,747,738,0,9,0,98.8,0,1.2,0
baseline,has_grouping,yes,3,3,0,0,0,100,0,0,0
distributed,has_grouping,no,2988,2630,300,40,18,88,10,1.3,0.6
distributed,has_grouping,yes,12,0,12,0,0,0,100,0,0
baseline,has_having,no,495,486,0,9,0,98.2,0,1.8,0
baseline,has_having,yes,255,255,0,0,0,100,0,0,0
distributed,has_having,no,1980,1689,246,27,18,85.3,12.4,1.4,0.9
distributed,has_having,yes,1020,941,66,13,0,92.3,6.5,1.3,0
baseline,has_intersect,no,729,720,0,9,0,98.8,0,1.2,0
baseline,has_intersect,yes,21,21,0,0,0,100,0,0,0
distributed,has_intersect,no,2916,2546,312,40,18,87.3,10.7,1.4,0.6
distributed,has_intersect,yes,84,84,0,0,0,100,0,0,0
baseline,has_left_join,no,609,604,0,5,0,99.2,0,0.8,0
baseline,has_left_join,yes,141,137,0,4,0,97.2,0,2.8,0
distributed,has_left_join,no,2436,2137,264,27,8,87.7,10.8,1.1,0.3
distributed,has_left_join,yes,564,493,48,13,10,87.4,8.5,2.3,1.8
baseline,has_limit,no,594,585,0,9,0,98.5,0,1.5,0
baseline,has_limit,yes,156,156,0,0,0,100,0,0,0
distributed,has_limit,no,2376,2054,264,40,18,86.4,11.1,1.7,0.8
distributed,has_limit,yes,624,576,48,0,0,92.3,7.7,0,0
baseline,has_order_by,no,120,117,0,3,0,97.5,0,2.5,0
baseline,has_order_by,yes,630,624,0,6,0,99,0,1,0
distributed,has_order_by,no,480,397,72,11,0,82.7,15,2.3,0
distributed,has_order_by,yes,2520,2233,240,29,18,88.6,9.5,1.2,0.7
baseline,has_right_join,no,744,735,0,9,0,98.8,0,1.2,0
baseline,has_right_join,yes,6,6,0,0,0,100,0,0,0
distributed,has_right_join,no,2976,2614,312,32,18,87.8,10.5,1.1,0.6
distributed,has_right_join,yes,24,16,0,8,0,66.7,0,33.3,0
baseline,has_rollup,no,744,735,0,9,0,98.8,0,1.2,0
baseline,has_rollup,yes,6,6,0,0,0,100,0,0,0
distributed,has_rollup,no,2976,2630,288,40,18,88.4,9.7,1.3,0.6
distributed,has_rollup,yes,24,0,24,0,0,0,100,0,0
baseline,has_subqueries,no,576,569,0,7,0,98.8,0,1.2,0
baseline,has_subqueries,yes,174,172,0,2,0,98.9,0,1.1,0
distributed,has_subqueries,no,2304,2109,150,27,18,91.5,6.5,1.2,0.8
distributed,has_subqueries,yes,696,521,162,13,0,74.9,23.3,1.9,0
baseline,has_union,no,717,708,0,9,0,98.7,0,1.3,0
baseline,has_union,yes,33,33,0,0,0,100,0,0,0
distributed,has_union,no,2868,2518,300,40,10,87.8,10.5,1.4,0.3
distributed,has_union,yes,132,112,12,0,8,84.8,9.1,0,6.1
baseline,has_window,no,633,624,0,9,0,98.6,0,1.4,0
baseline,has_window,yes,117,117,0,0,0,100,0,0,0
distributed,has_window,no,2532,2171,312,35,14,85.7,12.3,1.4,0.6
distributed,has_window,yes,468,459,0,5,4,98.1,0,1.1,0.9
