query_id,n_executions,n_success,n_citus_arch_error,n_timeout,n_server_crash,success_rate
Q013,12,0,12,0,0,0
Q051,12,0,12,0,0,0
Q065,12,0,12,0,0,0
Q069,12,0,12,0,0,0
Q103,12,0,12,0,0,0
Q110,12,0,12,0,0,0
Q119,12,0,12,0,0,0
Q121,12,0,12,0,0,0
Q124,12,0,12,0,0,0
Q125,12,0,12,0,0,0
Q132,12,0,12,0,0,0
Q160,12,0,12,0,0,0
Q197,12,0,12,0,0,0
Q198,12,0,12,0,0,0
Q233,12,0,12,0,0,0
Q235,12,0,12,0,0,0
Q237,12,0,12,0,0,0
Q238,12,0,12,0,0,0
Q248,12,0,12,0,0,0
Q101,12,0,0,2,10,0
Q061,12,4,6,2,0,33.3
Q028,12,4,0,8,0,33.3
Q099,12,4,0,8,0,33.3
Q024,12,6,6,0,0,50
Q040,12,6,6,0,0,50
Q050,12,6,6,0,0,50
Q055,12,6,6,0,0,50
Q064,12,6,6,0,0,50
Q068,12,6,6,0,0,50
Q208,12,6,6,0,0,50
Q209,12,6,6,0,0,50
Q210,12,6,6,0,0,50
Q211,12,6,6,0,0,50
Q247,12,6,6,0,0,50
Q249,12,6,6,0,0,50
Q250,12,6,6,0,0,50
Q054,12,7,0,5,0,58.3
Q183,12,8,0,0,4,66.7
Q184,12,8,0,0,4,66.7
Q052,12,8,0,4,0,66.7
Q053,12,8,0,4,0,66.7
Q045,12,10,0,2,0,83.3
Q067,12,10,0,2,0,83.3
Q221,12,10,0,2,0,83.3
Q220,12,11,0,1,0,91.7
