architecture,characteristic,presence,n_total,n_success,success_rate,n_citus_arch_error,citus_arch_error_rate,n_timeout,timeout_rate,n_server_crash,server_crash_rate
baseline,has_aggregates,no,81,81,100,0,0,0,0,0,0
baseline,has_aggregates,yes,669,660,98.7,0,0,9,1.3,0,0
distributed,has_aggregates,no,324,244,75.3,72,22.2,8,2.5,0,0
distributed,has_aggregates,yes,2676,2386,89.2,240,9,32,1.2,18,0.7
baseline,has_case,no,642,637,99.2,0,0,5,0.8,0,0
baseline,has_case,yes,108,104,96.3,0,0,4,3.7,0,0
distributed,has_case,no,2568,2268,88.3,264,10.3,28,1.1,8,0.3
distributed,has_case,yes,432,362,83.8,48,11.1,12,2.8,10,2.3
baseline,has_cross_join,no,741,732,98.8,0,0,9,1.2,0,0
baseline,has_cross_join,yes,9,9,100,0,0,0,0,0,0
distributed,has_cross_join,no,2964,2594,87.5,312,10.5,40,1.3,18,0.6
distributed,has_cross_join,yes,36,36,100,0,0,0,0,0,0
baseline,has_cte,no,573,566,98.8,0,0,7,1.2,0,0
baseline,has_cte,yes,177,175,98.9,0,0,2,1.1,0,0
distributed,has_cte,no,2292,1943,84.8,312,13.6,27,1.2,10,0.4
distributed,has_cte,yes,708,687,97,0,0,13,1.8,8,1.1
baseline,has_cube,no,747,738,98.8,0,0,9,1.2,0,0
baseline,has_cube,yes,3,3,100,0,0,0,0,0,0
distributed,has_cube,no,2988,2630,88,300,10,40,1.3,18,0.6
distributed,has_cube,yes,12,0,0,12,100,0,0,0,0
baseline,has_distinct,no,579,570,98.4,0,0,9,1.6,0,0
baseline,has_distinct,yes,171,171,100,0,0,0,0,0,0
distributed,has_distinct,no,2316,2012,86.9,258,11.1,28,1.2,18,0.8
distributed,has_distinct,yes,684,618,90.4,54,7.9,12,1.8,0,0
baseline,has_except,no,732,723,98.8,0,0,9,1.2,0,0
baseline,has_except,yes,18,18,100,0,0,0,0,0,0
distributed,has_except,no,2928,2558,87.4,312,10.7,40,1.4,18,0.6
distributed,has_except,yes,72,72,100,0,0,0,0,0,0
baseline,has_full_join,no,741,732,98.8,0,0,9,1.2,0,0
baseline,has_full_join,yes,9,9,100,0,0,0,0,0,0
distributed,has_full_join,no,2964,2594,87.5,312,10.5,40,1.3,18,0.6
distributed,has_full_join,yes,36,36,100,0,0,0,0,0,0
