scenario_pair,comparison_class,n_queries,total_queries,pct_queries,label
SF100_N2,D1 mai rapid,81,207,0.391304347826087,81 (39.1%)
SF100_N2,D2 mai rapid,109,207,0.5265700483091788,109 (52.7%)
SF100_N2,Similar (+/-5%),17,207,0.0821256038647343,17 (8.2%)
SF100_N5,D1 mai rapid,96,208,0.46153846153846156,96 (46.2%)
SF100_N5,D2 mai rapid,96,208,0.46153846153846156,96 (46.2%)
SF100_N5,Similar (+/-5%),16,208,0.07692307692307693,16 (7.7%)
SF10_N2,D1 mai rapid,80,216,0.37037037037037035,80 (37%)
SF10_N2,D2 mai rapid,111,216,0.5138888888888888,111 (51.4%)
SF10_N2,Similar (+/-5%),25,216,0.11574074074074074,25 (11.6%)
SF10_N5,D1 mai rapid,53,216,0.24537037037037038,53 (24.5%)
SF10_N5,D2 mai rapid,140,216,0.6481481481481481,140 (64.8%)
SF10_N5,Similar (+/-5%),23,216,0.10648148148148148,23 (10.6%)
SF50_N2,D1 mai rapid,72,211,0.3412322274881517,72 (34.1%)
SF50_N2,D2 mai rapid,121,211,0.5734597156398105,121 (57.3%)
SF50_N2,Similar (+/-5%),18,211,0.08530805687203792,18 (8.5%)
SF50_N5,D1 mai rapid,48,211,0.22748815165876776,48 (22.7%)
SF50_N5,D2 mai rapid,141,211,0.6682464454976303,141 (66.8%)
SF50_N5,Similar (+/-5%),22,211,0.10426540284360189,22 (10.4%)
