scenario,sf,workers,strategy,n_success,mean_elapsed_sec,median_elapsed_sec,min_elapsed_sec,max_elapsed_sec,p90_elapsed_sec,p95_elapsed_sec,sd_elapsed_sec
SF10_N0,10,0,baseline,250,25.351388,9.836500000000001,0.189,1899.119,27.6704,56.02954999999985,124.76086296719308
SF10_N2_D1,10,2,D1,225,30.771813333333334,3.238,0.28,2218.742,33.40579999999999,51.88679999999998,172.8942923270934
SF10_N2_D2,10,2,D2,221,32.08432579185521,3.453,0.226,1943.045,25.541,66.093,160.01991795049855
SF10_N5_D1,10,5,D1,225,46.75849777777778,3.662,0.264,2551.418,39.2878,88.36559999999976,230.6638015113184
SF10_N5_D2,10,5,D2,221,28.637144796380092,3.159,0.207,1949.428,23.667,48.996,157.60766245809944
SF50_N0,50,0,baseline,247,205.79436032388665,72.028,1.175,2897.74,386.4950000000002,1136.579399999998,413.81850315766957
SF50_N2_D1,50,2,D1,220,83.23755454545454,18.1955,0.438,2174.796,146.08199999999997,279.8189499999998,242.39366122011333
SF50_N2_D2,50,2,D2,217,47.189571428571426,16.005,0.278,1373.739,101.60220000000002,162.50499999999985,120.02103665610163
SF50_N5_D1,50,5,D1,220,67.34767272727272,16.5835,0.426,1542.74,142.0739,243.88469999999995,172.7723299254926
SF50_N5_D2,50,5,D2,217,34.13645622119816,14.641,0.292,825.974,80.83840000000001,137.32759999999988,75.5193495031496
SF100_N0,100,0,baseline,244,610.2813770491804,455.3685,2.383,3245.184,1312.7913000000012,2196.5987999999998,657.6794919601181
SF100_N2_D1,100,2,D1,217,193.3103870967742,71.553,0.454,3383.65,353.8432000000001,743.1043999999968,412.4641549393598
SF100_N2_D2,100,2,D2,215,169.23961860465116,63.117,0.633,3190.445,342.77059999999994,610.6317999999972,377.8603385699037
SF100_N5_D1,100,5,D1,218,228.3178899082569,73.4985,1.224,3308.949,440.06970000000024,865.3498999999993,478.0668170399958
SF100_N5_D2,100,5,D2,214,207.42107943925234,82.236,0.943,3226.874,483.9031000000002,782.5111499999996,381.1540121167222
