scenario_pair,sf,strategy,comparison_class,n_queries,total_queries,pct_queries,label
SF100_D1,100,D1,Similar (+/-5%),48,217,0.22119815668202766,48 (22.1%)
SF100_D1,100,D1,N5 mai rapid,69,217,0.31797235023041476,69 (31.8%)
SF100_D1,100,D1,N2 mai rapid,100,217,0.4608294930875576,100 (46.1%)
SF100_D2,100,D2,Similar (+/-5%),31,214,0.14485981308411214,31 (14.5%)
SF100_D2,100,D2,N5 mai rapid,69,214,0.32242990654205606,69 (32.2%)
SF100_D2,100,D2,N2 mai rapid,114,214,0.5327102803738317,114 (53.3%)
SF10_D1,10,D1,Similar (+/-5%),90,225,0.4,90 (40%)
SF10_D1,10,D1,N5 mai rapid,39,225,0.17333333333333334,39 (17.3%)
SF10_D1,10,D1,N2 mai rapid,96,225,0.4266666666666667,96 (42.7%)
SF10_D2,10,D2,Similar (+/-5%),77,221,0.34841628959276016,77 (34.8%)
SF10_D2,10,D2,N5 mai rapid,74,221,0.334841628959276,74 (33.5%)
SF10_D2,10,D2,N2 mai rapid,70,221,0.3167420814479638,70 (31.7%)
SF50_D1,50,D1,Similar (+/-5%),71,220,0.32272727272727275,71 (32.3%)
SF50_D1,50,D1,N5 mai rapid,85,220,0.38636363636363635,85 (38.6%)
SF50_D1,50,D1,N2 mai rapid,64,220,0.2909090909090909,64 (29.1%)
SF50_D2,50,D2,Similar (+/-5%),86,217,0.39631336405529954,86 (39.6%)
SF50_D2,50,D2,N5 mai rapid,115,217,0.5299539170506913,115 (53%)
SF50_D2,50,D2,N2 mai rapid,16,217,0.07373271889400922,16 (7.4%)
