scenario,sf,workers,strategy,status,n_queries,total_queries,pct_queries
SF10_N0,10,0,baseline,SUCCESS,250,250,1
SF10_N2_D1,10,2,D1,SUCCESS,225,250,0.9
SF10_N2_D1,10,2,D1,CITUS_ARCH_ERROR,24,250,0.096
SF10_N2_D1,10,2,D1,TIMEOUT_3600,1,250,0.004
SF10_N2_D2,10,2,D2,SUCCESS,221,250,0.884
SF10_N2_D2,10,2,D2,CITUS_ARCH_ERROR,28,250,0.112
SF10_N2_D2,10,2,D2,SERVER_CRASH,1,250,0.004
SF10_N5_D1,10,5,D1,SUCCESS,225,250,0.9
SF10_N5_D1,10,5,D1,CITUS_ARCH_ERROR,24,250,0.096
SF10_N5_D1,10,5,D1,TIMEOUT_3600,1,250,0.004
SF10_N5_D2,10,5,D2,SUCCESS,221,250,0.884
SF10_N5_D2,10,5,D2,CITUS_ARCH_ERROR,28,250,0.112
SF10_N5_D2,10,5,D2,SERVER_CRASH,1,250,0.004
SF50_N0,50,0,baseline,SUCCESS,247,250,0.988
SF50_N0,50,0,baseline,TIMEOUT_3600,3,250,0.012
SF50_N2_D1,50,2,D1,SUCCESS,220,250,0.88
SF50_N2_D1,50,2,D1,CITUS_ARCH_ERROR,24,250,0.096
SF50_N2_D1,50,2,D1,TIMEOUT_3600,5,250,0.02
SF50_N2_D1,50,2,D1,SERVER_CRASH,1,250,0.004
SF50_N2_D2,50,2,D2,SUCCESS,217,250,0.868
SF50_N2_D2,50,2,D2,CITUS_ARCH_ERROR,28,250,0.112
SF50_N2_D2,50,2,D2,TIMEOUT_3600,4,250,0.016
SF50_N2_D2,50,2,D2,SERVER_CRASH,1,250,0.004
SF50_N5_D1,50,5,D1,SUCCESS,220,250,0.88
SF50_N5_D1,50,5,D1,CITUS_ARCH_ERROR,24,250,0.096
SF50_N5_D1,50,5,D1,TIMEOUT_3600,5,250,0.02
SF50_N5_D1,50,5,D1,SERVER_CRASH,1,250,0.004
SF50_N5_D2,50,5,D2,SUCCESS,217,250,0.868
SF50_N5_D2,50,5,D2,CITUS_ARCH_ERROR,28,250,0.112
SF50_N5_D2,50,5,D2,TIMEOUT_3600,4,250,0.016
SF50_N5_D2,50,5,D2,SERVER_CRASH,1,250,0.004
SF100_N0,100,0,baseline,SUCCESS,244,250,0.976
SF100_N0,100,0,baseline,TIMEOUT_3600,6,250,0.024
SF100_N2_D1,100,2,D1,SUCCESS,217,250,0.868
SF100_N2_D1,100,2,D1,CITUS_ARCH_ERROR,24,250,0.096
SF100_N2_D1,100,2,D1,TIMEOUT_3600,6,250,0.024
SF100_N2_D1,100,2,D1,SERVER_CRASH,3,250,0.012
SF100_N2_D2,100,2,D2,SUCCESS,215,250,0.86
SF100_N2_D2,100,2,D2,CITUS_ARCH_ERROR,28,250,0.112
SF100_N2_D2,100,2,D2,TIMEOUT_3600,4,250,0.016
SF100_N2_D2,100,2,D2,SERVER_CRASH,3,250,0.012
SF100_N5_D1,100,5,D1,SUCCESS,218,250,0.872
SF100_N5_D1,100,5,D1,CITUS_ARCH_ERROR,24,250,0.096
SF100_N5_D1,100,5,D1,TIMEOUT_3600,5,250,0.02
SF100_N5_D1,100,5,D1,SERVER_CRASH,3,250,0.012
SF100_N5_D2,100,5,D2,SUCCESS,214,250,0.856
SF100_N5_D2,100,5,D2,CITUS_ARCH_ERROR,28,250,0.112
SF100_N5_D2,100,5,D2,TIMEOUT_3600,5,250,0.02
SF100_N5_D2,100,5,D2,SERVER_CRASH,3,250,0.012
