characteristic,n_no,n_yes,success_rate_no,success_rate_yes,fail_rate_no,fail_rate_yes,odds_ratio,p_value,p_value_holm,significant_holm
has_subqueries,2304,696,91.5,74.9,8.5,25.1,0.27541761990487346,6.489808921186601e-28,1.2979617842373203e-26,TRUE
has_rollup,2976,24,88.4,0,11.6,100,0,7.851378263062528e-23,1.4917618699818803e-21,TRUE
has_cte,2292,708,84.8,97,15.2,3,5.874381189731465,2.33584384718478e-22,4.204518924932604e-21,TRUE
has_window,2532,468,85.7,98.1,14.3,1.9,8.477200778701652,4.057595257203457e-18,6.897911937245876e-17,TRUE
has_group_by,324,2676,73.5,89.4,26.5,10.6,3.0419368346421716,8.880822735042806e-14,1.4209316376068489e-12,TRUE
has_grouping,2988,12,88,0,12,100,0,1.0574219161213032e-11,1.5861328741819548e-10,TRUE
has_cube,2988,12,88,0,12,100,0,1.0574219161213032e-11,1.5861328741819548e-10,TRUE
has_aggregates,324,2676,75.3,89.2,24.7,10.8,2.696397907628661,7.672696773592632e-11,9.974505805670422e-10,TRUE
has_having,1980,1020,85.3,92.3,14.7,7.7,2.051772822857515,2.1188123813330532e-8,2.542574857599664e-7,TRUE
has_intersect,2916,84,87.3,100,12.7,0,Inf,2.6234768460528724e-5,2.88582453065816e-4,TRUE
has_limit,2376,624,86.4,92.3,13.6,7.7,1.8808655921141473,5.0160165031296504e-5,5.01601650312965e-4,TRUE
has_except,2928,72,87.4,100,12.6,0,Inf,1.575886034428724e-4,0.0014182974309858516,TRUE
has_order_by,480,2520,82.7,88.6,17.3,11.4,1.6263515042365098,4.8350336971770023e-4,0.003868026957741602,TRUE
has_right_join,2976,24,87.8,66.7,12.2,33.3,0.27713168650116443,0.006082883522434976,0.042580184657044835,TRUE
has_case,2568,432,88.3,83.8,11.7,16.2,0.6841476975590463,0.01117039631257788,0.06702237787546728,FALSE
has_distinct,2316,684,86.9,90.4,13.1,9.6,1.4146757575399587,0.014356113502960462,0.0717805675148023,FALSE
has_full_join,2964,36,87.5,100,12.5,0,Inf,0.017949759962552186,0.07179903985020875,FALSE
has_cross_join,2964,36,87.5,100,12.5,0,Inf,0.017949759962552186,0.07179903985020875,FALSE
has_union,2868,132,87.8,84.8,12.2,15.2,0.7784671080096125,0.34181929615556245,0.6836385923111249,FALSE
has_left_join,2436,564,87.7,87.4,12.3,12.6,0.971535560001776,0.831355410212895,0.831355410212895,FALSE
