characteristic,n_no,n_yes,median_log_no,median_log_yes,median_sec_no,median_sec_yes,median_ratio_yes_over_no,statistic_w,p_value,rank_biserial,effect_magnitude,p_value_holm,significant_holm
has_union,2518,112,1.179,1.92,15.11,83.28,5.512,74807.5,3.802891003830175e-17,-0.469,very large,6.464914706511297e-16,TRUE
has_left_join,2137,493,1.165,1.384,14.631,24.197,1.654,422297.5,6.244738809168994e-12,-0.198,small,9.99158209467039e-11,TRUE
has_group_by,238,2392,1.485,1.177,30.541,15.018,0.492,353360.5,7.73542827439022e-10,0.241,medium,1.160314241158533e-8,TRUE
has_right_join,2614,16,1.198,2.908,15.791,809.77,51.282,2462,1.11097663967314e-9,-0.882,very large,1.5553672955423958e-8,TRUE
has_aggregates,244,2386,1.479,1.176,30.163,15.011,0.498,358823.5,2.0351356934605445e-9,0.233,medium,2.6456764014987078e-8,TRUE
has_subqueries,2109,521,1.17,1.367,14.804,23.272,1.572,463351,2.9638638461680624e-8,-0.157,small,3.5566366154016746e-7,TRUE
has_order_by,397,2233,1.386,1.174,24.34,14.938,0.614,518674.5,6.302471739440197e-8,0.17,small,6.932718913384216e-7,TRUE
has_intersect,2546,84,1.189,1.916,15.446,82.435,5.337,70709.5,1.2249473932799444e-7,-0.339,large,1.2249473932799444e-6,TRUE
has_distinct,2012,618,1.168,1.32,14.719,20.891,1.419,539040,5.535384216914469e-7,-0.133,small,4.981845795223022e-6,TRUE
has_except,2558,72,1.19,1.465,15.482,29.334,1.895,66751.5,6.689978723756384e-5,-0.275,medium,5.351982979005108e-4,TRUE
has_full_join,2594,36,1.207,0.618,16.102,4.198,0.261,62229,5.956666052468896e-4,0.333,large,0.004169666236728227,TRUE
has_cte,1943,687,1.178,1.274,15.053,18.775,1.247,617178,0.003315601683449192,-0.075,very small,0.019893610100695153,TRUE
has_having,1689,941,1.222,1.171,16.678,14.832,0.889,838055.5,0.020131517974350168,0.055,very small,0.10065758987175084,FALSE
has_window,2171,459,1.209,1.169,16.177,14.757,0.912,529763,0.03298045954813401,0.063,very small,0.13192183819253603,FALSE
has_cross_join,2594,36,1.198,1.519,15.791,33.056,2.093,38121.5,0.05822801050636869,-0.184,small,0.17468403151910605,FALSE
has_case,2268,362,1.204,1.195,15.982,15.654,0.98,401627,0.5080358660673001,-0.022,tiny,1,FALSE
has_limit,2054,576,1.204,1.189,16.011,15.451,0.965,595158,0.8228631348646672,0.006,tiny,1,FALSE
