characteristic,n,spearman_rho,p_value,effect_magnitude,p_value_holm,significant_holm
n_left_joins,2630,0.144,1.2262095080739594e-13,small,1.5940723604961471e-12,TRUE
n_joins,2630,0.13,1.8434843054916736e-11,small,2.2121811665900085e-10,TRUE
n_tables,2630,0.122,3.0908183756260004e-10,small,3.3999002131886006e-9,TRUE
n_right_joins,2630,0.119,9.796808409992547e-10,small,9.796808409992547e-9,TRUE
n_aggregate_types,2630,-0.106,4.817397617005503e-8,small,4.335657855304953e-7,TRUE
n_subqueries,2630,0.101,2.3540613869602667e-7,small,1.8832491095682134e-6,TRUE
n_inner_joins,2630,0.072,2.1693395311497382e-4,very small,0.0015185376718048168,TRUE
n_full_joins,2630,-0.067,5.891325125420808e-4,very small,0.003534795075252485,TRUE
n_ctes,2630,0.06,0.0019885641599773005,very small,0.009942820799886502,TRUE
n_cross_joins,2630,0.037,0.058199267084345356,tiny,0.23279706833738142,FALSE
n_having_predicates,2630,-0.03,0.11941048263539358,tiny,0.3582314479061808,FALSE
n_aggregate_calls,2630,-0.019,0.3320466313012951,tiny,0.40630362599926534,FALSE
n_where_predicates,2630,0.025,0.20315181299963267,tiny,0.40630362599926534,FALSE
