mtry,min_n,.metric,.estimator,mean,n,std_err,.config
32,28,mae,standard,0.35304306282116066,5,0.008637002319982824,Preprocessor1_Model01
32,28,rmse,standard,0.46108716273065403,5,0.015062070281164004,Preprocessor1_Model01
32,28,rsq,standard,0.716671910002365,5,0.016245660932411105,Preprocessor1_Model01
16,6,mae,standard,0.2988799355404881,5,0.00990960828373669,Preprocessor1_Model02
16,6,rmse,standard,0.4021767898801325,5,0.01723754994272661,Preprocessor1_Model02
16,6,rsq,standard,0.7876167496649482,5,0.01661806300404842,Preprocessor1_Model02
15,7,mae,standard,0.3039115882752779,5,0.00961161059059601,Preprocessor1_Model03
15,7,rmse,standard,0.40681729178578335,5,0.016754516765823315,Preprocessor1_Model03
15,7,rsq,standard,0.783957085493845,5,0.01616814184446569,Preprocessor1_Model03
4,17,mae,standard,0.43903213965655724,5,0.006736595173234869,Preprocessor1_Model04
4,17,rmse,standard,0.5463163451686305,5,0.011597008503676925,Preprocessor1_Model04
4,17,rsq,standard,0.6892627393976803,5,0.017730321038339394,Preprocessor1_Model04
15,25,mae,standard,0.3568828135237357,5,0.010180676460991184,Preprocessor1_Model05
15,25,rmse,standard,0.4643588356460522,5,0.01631660644240826,Preprocessor1_Model05
15,25,rsq,standard,0.7198865761091813,5,0.018722324502725457,Preprocessor1_Model05
26,33,mae,standard,0.3655747442074669,5,0.009813513768239057,Preprocessor1_Model06
26,33,rmse,standard,0.47488140019509867,5,0.01612196680492865,Preprocessor1_Model06
26,33,rsq,standard,0.7000989820001582,5,0.01833393215046442,Preprocessor1_Model06
27,22,mae,standard,0.33998399759131687,5,0.008999219366532172,Preprocessor1_Model07
27,22,rmse,standard,0.4462311070289481,5,0.015618438881134776,Preprocessor1_Model07
27,22,rsq,standard,0.7356746951516252,5,0.016449618127716052,Preprocessor1_Model07
28,12,mae,standard,0.3074646338670712,5,0.00823277765990916,Preprocessor1_Model08
28,12,rmse,standard,0.4115549011600394,5,0.01517393817457615,Preprocessor1_Model08
28,12,rsq,standard,0.774679277037089,5,0.014332314972776716,Preprocessor1_Model08
6,37,mae,standard,0.4211619774834102,5,0.007951968844473986,Preprocessor1_Model09
